Latitude,Longitude,Heading,ShipName,Date,LadenState
39.805317,119.629167,300,CAPE MERLIN,31/12/2014,Unladen
40.058,121.433,36,DEZHOUHAI,31/12/2014,Unladen
21.493752,111.76823,60,FEN JIN HAI,31/12/2014,Unladen
19.081812,-104.357043,214,BEST VISION,31/12/2014,Laden
41.141,16.869,135,PIONEER ATLANTIC,31/12/2014,Unladen
-35.2405,20.1418,89,STAR TATIANNA,31/12/2014,Unladen
38.9962,118.404,0,DONG JIANG HAO,31/12/2014,Unladen
25.370558,55.381387,60,TRANS EMIRATES,31/12/2014,Unladen
26.0177,55.982017,33,JIMEI JINHAO,31/12/2014,Unladen
-9.78471,-28.5058,309,STELLAR HERMES,31/12/2014,Unladen
-38.5143,1.57317,104,STELLAR RIO,31/12/2014,Laden
-0.286808,142.587,142,WELL DEEP,31/12/2014,Unladen
38.21095,120.130483,316,YUE DIAN 4,31/12/2014,Unladen
39.852398,119.810043,304,GUO DIAN 6,31/12/2014,Unladen
-4.93889,110.884,80,KARUNIA,31/12/2014,Unladen
24.718908,118.759322,12,CHANG MING YANG,31/12/2014,Laden
16.5224,126.874,10,OCEAN VANGUARD,31/12/2014,Laden
31.7076,122.908,4,NING HUA,31/12/2014,Unladen
-43.4198,-20.6683,74,C HARMONY,31/12/2014,Laden
25.349835,51.79802,355,VARVA,31/12/2014,Laden
25.9786,56.057837,40,AQUARIA,31/12/2014,Unladen
22.532843,69.080693,284,SUNNY VOYAGER,31/12/2014,Unladen
16.877,92.1069,333,GLORY APOLLO,31/12/2014,Unladen
21.969883,113.91835,62,XIN PING HAI,31/12/2014,Laden
31.704445,121.154437,320,NAVIOS GEMINI S,31/12/2014,Unladen
21.978,122.15,221,CUPID FEATHER,31/12/2014,Unladen
34.8617,127.742,271,SUNNY OCEAN,31/12/2014,Laden
36.834553,122.46681,0,GLORY COMFORT,31/12/2014,Unladen
-20.373885,-40.222027,55,BERGE KANGCHENJUNGA,31/12/2014,Unladen
20.7098,71.4319,239,SEACONPRIDE,31/12/2014,Unladen
20.9257,88.1301,32,HUI PING,31/12/2014,Unladen
28.1587,124.67,19,ANANGEL AMBITION,31/12/2014,Laden
5.8712,88.5941,85,ATOUT,31/12/2014,Unladen
-23.1636,-44.000517,80,HE FU STAR,31/12/2014,Unladen
14.2523,80.1187,290,SRI PREM POORVA,31/12/2014,Laden
6.36058,79.2748,307,PACIFIC PIONEER,31/12/2014,Laden
-40.1712,16.0312,76,ALPHA ACTION,31/12/2014,Laden
6.664005,78.570145,123,C.POLARIS,31/12/2014,Laden
-32.6684,28.6718,228,CHOULEX,31/12/2014,Unladen
36.1439,129.523,297,WISE I,31/12/2014,Laden
-35.073,-9.99672,273,SAMJOHN SPIRIT,31/12/2014,Unladen
1.63415,104.616,211,SAMJOHN LIGHT,31/12/2014,Laden
43.699133,13.980612,97,LIAN FU STAR,31/12/2014,Unladen
30.0935,122.477,11,ZOSCO ZHOUSHAN,31/12/2014,Unladen
-3.759942,114.480902,117,OCEAN AMBER,31/12/2014,Unladen
-5.8826,106.030317,231,PERMATA CAROLINE,31/12/2014,Laden
29.197005,-94.576472,54,ORIENTAL SAGA,31/12/2014,Unladen
25.16772,56.443713,56,LIWA,31/12/2014,Unladen
6.05317,90.0091,267,SINO 6,31/12/2014,Laden
-26.6709,-11.8379,100,THE CREATOR,31/12/2014,Laden
20.9737,88.1699,111,SPAR NEPTUN,31/12/2014,Unladen
28.7463,122.498,32,YUEDIAN2,31/12/2014,Laden
-32.7307,152.505,41,HL ROBERTS BANK,31/12/2014,Laden
22.3781,-17.3011,24,SILVER EXPRESS,31/12/2014,Laden
26.4648,119.963,66,CAPE OSPREY,31/12/2014,Unladen
